subject,comment,contributor,Date
14-Terms Semantic Connections Edited,been looking for something like this,froda,8/19/2008 0:00
"1800 Option line calls by state, with population. 2006",Please comment with any questions.,Daniels2889,7/10/2007 0:00
"1800 Option line calls by state, with population. 2006",Please comment with any questions.,Daniels2889,7/10/2007 0:00
"1800 Option line calls by state, with population. 2006",I'd like to know more about what the data means. Is...,Martin Wattenberg,7/10/2007 0:00
"1800 Option line calls by state, with population. 2006",That is exactly it. The phone number is...,Daniels2889,7/14/2007 0:00
18대 무소속 국회의원들의 법안공동발의 연결망,"비고: 이윤석 의원(전남 무안,신안)은 3월 3일 민주당으로 복당.",Hyejin Kwon,3/15/2009 0:00
1980 electricity consumption by country,This was very usefull in me and my partner's assignment/project =oD...,,12/9/2009 0:00
1980 electricity consumption by country,This wed is very helpfull to me and my partener. I...,,12/9/2009 0:00
1980 electricity consumption by country,"Hi!! My name is ""I can't tell you"" because you know...",,12/9/2009 0:00
1980 electricity consumption by country,Oh yea... Thanks to klgreen... from anonymous that sent the last...,,12/9/2009 0:00
1997-2000 Parliament Matrix,Another way to look at this same data,Lee Byron,7/27/2007 0:00
1997-2000 Parliament Matrix,"Here's the ""bar"" version of Lee's view. Can't decide which I...",Martin Wattenberg,7/28/2007 0:00
200 Top Grossing Movies,test,,11/17/2009 0:00
200 words Koran,"Israel is in Middle East , And Connects Europe ,Africa And...",about israel,8/31/2008 0:00
200 words Koran,"Israel is in Middle East , And Connects Europe ,Africa And...",about israel,8/31/2008 0:00
2000 Iowa General Election - Bush Votes by County,Polk has the largest.,,12/21/2007 0:00
2000 Iowa General Election - Bush Votes by County,How about those countries?,,12/21/2007 0:00
2000-2008加州蕃茄運送總量,year月份 總數 2000 10286508 2001 8640141 2002 11055559...,shinjung,3/4/2009 0:00
2002-2007 Report of State E-Government Portal Rankings by Brown University,Wyoming abstains from e-government progress or...,justgrimes,2/6/2008 0:00
2003 CO2 emissions by country (kt),"It will make more sense to use emission per area, as...",chrisada,2/6/2007 0:00
2004 Individual Giving by US State,Cool. Percentage of income contributed shows how those in the...,Anonymous,1/30/2007 0:00
2004 Individual Giving by US State,I remember reading that when you adjusted for the high cost...,Anonymous,1/30/2007 0:00
2004 Individual Giving by US State,"The reason that Utah is the highest, at 12.87%, is that...",Anonymous,1/30/2007 0:00
2004 Individual Giving by US State,Hm... the fact that Washington shows up as having only 3%...,Fernanda B. Viegas,1/30/2007 0:00
2004 Individual Giving by US State,"The 'bible belt is most generous' phenomenon was widely reported on,...",Lydia,1/30/2007 0:00
2004 Individual Giving by US State,"Actually, if you look at average contribution of AGI, this is...",seeker,8/6/2007 0:00
2004 vs 2008 Inauguration speeches,This compares the frequency of words between George W Bush's2004 inauguration...,dchew,2/11/2009 0:00
2004 World Electricity by Source,you dont write what units- kwat or what,,9/2/2009 0:00
2005 Child Support Collections Per Case,I'd be fascinated to plot this against income or cost of...,Lydia,1/26/2007 0:00
"2005 Earmark Descriptions (Updated May 31, 2007)",Says a lot more about the language of government than the...,,2/10/2008 0:00
"2005 Earmark Descriptions (Updated May 31, 2007)",It would be nice if there were an explanation of how...,,7/12/2008 0:00
"2005 Earmark Descriptions (Updated May 31, 2007)",It would be nice if there were an explanation of how...,,7/12/2008 0:00
"2005 Earmark Descriptions (Updated May 31, 2007)",It would nice if you could find out who in congress...,,10/24/2008 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)","Nice, but I wonder, the colors seem random. This is slightly...",,6/9/2007 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",also would be interesting to see this data crossed against party...,,7/25/2007 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",Note that Ted Stevens of Alaska is chairman of the Senate...,,7/27/2007 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",Very useful Site. A great public service. Your use...,,2/1/2008 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",Hmm. Can we have a version of this that shows earmarks-per-electoral-vote...,,9/15/2008 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",This is a great help. I'm doing a report against earmarking...,,9/28/2008 0:00
"2005 Earmarks ($) by State Per Capita (Updated May 31, 2007)",Great work,jovirox,9/29/2009 0:00
2005 Earmarks by State Per Capita,I'm curious about the patterns here. Does it all come down...,Martin Wattenberg,5/23/2007 0:00
2005 Earmarks by State Per Capita,I think the pattern is due more to population. The...,,5/25/2007 0:00
2005 Earmarks by State Per Capita,"5/25 Anonymous: Not a statistician here, but isn't the relatively small...",,6/20/2007 0:00
2005 Earmarks by State Per Capita,I think there may be a combination of forces at work...,,7/20/2007 0:00
2005 Earmarks by State Per Capita,Seems like too much money is spent in AK.,,7/30/2007 0:00
2005 Earmarks by State Per Capita,See this paper for an analysis of the determinants of...,,8/14/2007 0:00
2005 Earmarks by State Per Capita,This visualization begs the question(s): how does this fit with federal...,,8/14/2007 0:00
2005 Earmarks by State Per Capita,"""Earmarks"" is a pretty broad term that covers a lot of...",,8/14/2007 0:00
2005 Earmarks by State Per Capita,"Damn, I expect more than $37 from my congressman, He better...",,8/14/2007 0:00
2005 Earmarks by State Per Capita,"As someone who grew up in Hawaii, I find this damn...",,8/14/2007 0:00
2005 Mass Home Price to Income,Ciao,,3/6/2007 0:00
2005 Mass Public Schools,Belmont highlighted,,3/5/2007 0:00
2005 Mass Public Schools,This is excellent! It would be nice if consumer graph...,,7/23/2008 0:00
2005 Total US Crime,This is very well-done. Appreciate your work.,Peg McMahon,10/19/2009 0:00
"2005-06 North Carolina Ninth Grade Bulge: Short Term Suspensions, Non Promotion, Long Term Suspensions, Expulsions",Note how many students in the ninth grade have short term...,Lynn,4/14/2008 0:00
2006 Movies By International Box Office Gross,I'm delighted to see the number of top-grossing movies from 2004...,,3/13/2007 0:00
2006 Movies By International Box Office Gross,These are the ones I've seen. Most of them on DVD...,Frank van Ham,3/13/2007 0:00
2006 Movies By International Box Office Gross,here are the ones I've seen... there are so many still...,Fernanda B. Viegas,3/13/2007 0:00
2006 Movies By International Box Office Gross,and here are the ones on my netflix list... I guess...,Fernanda B. Viegas,3/13/2007 0:00
2006 Movies By International Box Office Gross,"The metascore visualization is very interesting, but the difference in circle...",,3/15/2007 0:00
2006 Movies By International Box Office Gross,is there a way of analysing which are the top grossing...,,3/26/2007 0:00
2006 Movies By International Box Office Gross,sasdad,,4/6/2007 0:00
2006 Movies By International Box Office Gross,These are the ones i have seen..and that also when i...,,4/6/2007 0:00
2006 NAEP Math Proficiency by State,Film Documentary on high stakes testing: http://www.childrenleftbehind.com,Louis Kruger,5/3/2009 0:00
"2006 Violent crime in Michigan per 100,000","Interesting that on this graph, Detroit is less violent than Fruitport,...",,2/8/2008 0:00
2006 Virginia liquor sales in gallons,I switched over to JESUS. Try him i promise it's your...,,3/17/2008 0:00
2006-7 Pupil/Teacher Ratio in US Public Schools,Male/female ratio population in each state (2006-7),tdamcbigity,2/21/2009 0:00
2007 EU Municipal Waste Statistics per person,"Each EU islander - Malta, Cyprus & Ireland - all put...",pk.pr,3/16/2009 0:00
2007 NCAA Basketball Head Coach Changes - A,kurdistan,,5/10/2007 0:00
2007 Product Revenue for a fictitious company,Why is Revenue Down in 2007 Q3 If you take...,david.dewar,9/12/2009 0:00
2007 Redhawks pitching statistics,Color isn't always the most useful thing,Matt McKeon,7/29/2007 0:00
"2007 Senate Republicans ""Party Unity"" Vote Scores (as of July 1)",This graph is a good example of how to use the...,Martin Wattenberg,7/11/2007 0:00
2007 Virginia liquor sales in dollars,Franklin County's finest,,2/8/2008 0:00
2008 Alcohol Consumption by Country,This looks like the twin of a 2005 dataset that covers...,,5/25/2009 0:00
2008 Alcohol Consumption by Country,"Meant to say, check out: http://avoidinglife.com/index.php/2005/08/20/alcohol_consumption_statistics",,5/25/2009 0:00
2008 Change in Partisan Alignment,"This snapshot shows the shift within Ohio, where the rural/smalltown Northwest...",N. Beaudrot,11/6/2008 0:00
2008 Change in Partisan Alignment,This compares the Obama-McCain margin (left) to the shift in the...,N. Beaudrot,11/6/2008 0:00
2008 Change in Partisan Alignment,1. Visible 2. Mac OS X 10.5.5 3. Firefox...,,11/25/2008 0:00
2008 Health Care Proposals,Would be useful to know which candidate said what... ...,,5/8/2008 0:00
"2008 Kentucky Derby contenders, trainers and sires",What this appears to show is that most Derby contenders are...,gorski,2/24/2008 0:00
"2008 Kentucky Derby contenders, trainers and sires",That's an interesting list. I love the deby and the parties....,,4/15/2008 0:00
2008 Percent of Population 18+ (by state),supposed to be an example of poor visualization of a data...,philadams.net,9/28/2009 0:00
"2008 Presidential Election, County Results and Partisan Shift",This compares the results in Washington state between '04 and '08....,N. Beaudrot,11/6/2008 0:00
"2008 Presidential Election, County Results and Partisan Shift",Hit the link here for a simple '04 (left) versus '08...,N. Beaudrot,11/6/2008 0:00
"2008 Presidential Election, County Results and Partisan Shift","Click on the image to the left, and you will see...",N. Beaudrot,11/6/2008 0:00
"2008 Presidential Election, County Results and Partisan Shift",This snapshot compares the Partisan voting index (PVI) for a given...,N. Beaudrot,11/6/2008 0:00
2008 Primaries for the Republican Party: Voting Day in Days After Jan. 3rd,I chose this visualization because I wanted to learn more about...,Liz,11/27/2007 0:00
2008 SLA Annual Conference Twitter Posts,So easy to see who is most obsessed by Twitter here...,,6/21/2008 0:00
2008 State of the Union,test,SG.Guo,1/31/2008 0:00
2008 State of the Union,prettttty cool,,1/31/2008 0:00
2008 Summer Olympics and Beijing - - Common Words from the NYTimes,the 2-word view is quite interesting...,Fernanda B. Viegas,8/18/2008 0:00
2008 Top 200 branded drugs by TRx - Treemap,advanced use of depression drugs is a concern!!,,8/25/2009 0:00
2009 Congressional Earmarks,A very good visualization which leads us to understand the distribution...,,3/14/2009 0:00
2009 Four Continents Figure Skating Ladies Short Result,Alternative Version,tanykim,2/7/2009 0:00
2009 Four Continents Figure Skating Ladies Short Result,I love watching figure skating. One big competition just ended. I...,tanykim,2/7/2009 0:00
2009 US Spending Bubble Chart,Another way to look at it is by category (bubble) and...,mflux,1/20/2010 0:00
2010 State of the Union in 90 Words,look at what the tool allows you to do...this was set...,,1/29/2010 0:00
2010 State of the Union in 90 Words,saving with 20 words. thanks for this,,1/29/2010 0:00
2010 State of the Union in 90 Words,Nicely done.,Chris de Haan,1/29/2010 0:00
2010 State of the Union in 90 Words,"""Anonymous says: Where is the word “I”?? He...",,2/4/2010 0:00
2-1-1 OC Needs Total Yearly Tally,intense.,,7/2/2008 0:00
2go cohesion chain,Awesome work. Must learn how to do this with my data....,remoran,10/13/2008 0:00
3 months USD LIBOR-OIS Basis,Anyone knows how to add another axis on the right?,chungosaurus,7/16/2008 0:00
3531 OEM Market Shares,That's a nice visualization.,,5/30/2007 0:00
36 Best Last Lines of Novels,DARJEELING WOJA WOJA KLAS HERAS SJE DJALLANG BINI GINI BOSSA,,12/21/2008 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,Are Only The Rich Paying Taxes? The bottom...,cgreen,8/31/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,"Yes, it's definitely fair. That top 1% has a vast share...",,8/31/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,"So ""anonymous"" thinks its ""fair"" that the top 1% of income...",cgreen,9/4/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,Where are the 4% between top 1% and bottom 95%. They...,,10/18/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,The top 1% earn well over 20% of the income. ...,,11/12/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,I think John L. Smart hit the nail on the head....,,12/4/2007 0:00
36.89% of all Federal Income Taxes Are Paid By The Top 1% of Income Earners,Ananymous wants a free lunch.,,2/7/2008 0:00
40+ Population Projections by Age 2010-2050,Could you show us when we shall reach peak population levels?...,fusion_prog_guy,5/21/2008 0:00
43 definitions of KM,"Hi Cory, I find this visualization more comprehensible (it provides me...",,3/21/2008 0:00
48 Most Populous Islands (WorldIslandInfo.com),"This is nice, but it would be more interesting to look...",,1/23/2008 0:00
48 Most Populous Islands (WorldIslandInfo.com),Interesting but where is Australia?,,1/23/2008 0:00
48 Most Populous Islands (WorldIslandInfo.com),"To my knowledge, Australia is the smallest continent and Greenland the...",,1/24/2008 0:00
48 Most Populous Islands (WorldIslandInfo.com),Here's more data: http://www.worldislandinfo.com/POPULATV2.htm For why Australia...,Future Atlas,1/25/2008 0:00
48 Most Populous Islands (WorldIslandInfo.com),"You see, java is indeed an Island and it is even...",,2/3/2008 0:00
"5.1.4. Graph 1. Word electricity generation by fuel, World electricity generation by fuel, 1971-2004",This view gives you a good idea of just how stable...,Fernanda B. Viegas,6/21/2007 0:00
"5.1.4. Graph 1. Word electricity generation by fuel, World electricity generation by fuel, 1971-2004","God I'm surprised that wind hasn't even made an impact, goes...",Jacket,6/22/2007 0:00
"5.1.4. Graph 2. Word electricity generation by fuel, As a percentage of world electricity generation, 1971-2004",i want to know the volume and quality fuel cells in...,,9/23/2007 0:00
"5.2.2. Graph 1. Production of crude oil by region, Million tonnes, 1971-2005",a low point,Jesse,6/28/2007 0:00
"5.2.3. Graph 1. Crude oil spot prices, US dollars per barrel, 1970-2005",Surely this would be more interesting updated? at least to end...,,5/31/2008 0:00
5+ Years makes a difference in your pocket,"Over 150% growth in Massachussets only. But don't worry, I'll...",gbboettcher,8/8/2008 0:00
5+ Years makes a difference in your pocket,Over 150% growth in 5 years in Massachussets only. If gas...,gbboettcher,8/8/2008 0:00
50 Most common words in U.S. Declaration of Independence,Jin Yao - This is the word map for 50...,jin_yao,2/12/2009 0:00
57.13% of all Federal Income Taxes Are Paid By The Top 5% of Income Earners,Are Only The Rich Paying Taxes? 57.13% of...,cgreen,8/31/2007 0:00
6 common friends,check it,er,4/17/2007 0:00
6 Degrees of Separation,This doesnt work. How do i search myself?,,7/16/2009 0:00
6 Degrees of Separation,Cameron Crosby loves HTML.,,12/10/2009 0:00
6\4\ 09,i'll fix the page next month,,6/21/2009 0:00
"7.1.2. Graph 1.Researchers, Per thousand employed, full-time equivalent, 2004 or latest available year",Finland employs 36% more researchers than any other country within the...,grjenkin,8/11/2007 0:00
"7.1.2. Graph 1.Researchers, Per thousand employed, full-time equivalent, 2004 or latest available year",All the Scandinavian countries are high up there.,Martin Wattenberg,8/11/2007 0:00
700Mhz Spectrum Bids thru Rnd 26 by Bid size per location,This is a fascinating depiction. Not quite sure what it...,,2/2/2008 0:00
700Mhz Spectrum Bids thru Rnd 26 by Bid size per location,This shows the areas of the country where the new 700MHz...,sillejo,2/2/2008 0:00
8 Most Critical Organizational Characteristics - CCL Benchmarks Catagories,Here is a more comprehensive explanation of each catagorie: Leading...,ENFPJIM,5/21/2008 0:00
84.8% of all Federal Income Taxes Are Paid By The Top 25% of Income Earners,This pie chart shows that 84.8% of all Federal Income Taxes...,cgreen,8/31/2007 0:00
"9.1.2. Graph 3. Tertiary attainment for age group 55-64, As a percentage of the population of that age group, 2004 or latest available year",This is the OECD average.,,6/19/2007 0:00
"9.2.2. Table 1. Total expenditure on educational institutions for all levels of education, As a percentage of GDP, 1995-2003",Wow...As a Canadian...all I can say is that this graph is...,,11/17/2009 0:00
96.7% of all Federal Income Taxes Are Paid By The Top 50% of Income Earners,This pie chart shows that 96.7% of all Federal Income Taxes...,cgreen,8/31/2007 0:00
A Day in the Life of U.S. Gasoline Prices,Very good.,,9/12/2008 0:00
A Day in the Life of U.S. Gasoline Prices,Very good.,,9/12/2008 0:00
A Day in the Life of U.S. Gasoline Prices,Alaska appears to hurt the most . . .,,9/12/2008 0:00
A Day in the Life of U.S. Gasoline Prices,Alaska appears to hurt the most . . .,,9/12/2008 0:00
A Day in the Life of U.S. Gasoline Prices,"Yeah, I hear ya. Here in Ga., it is the...",,9/21/2008 0:00
A Day in the Life of U.S. Gasoline Prices,The chart specifies it is for September 8. The visualization is...,,9/21/2008 0:00
A Day in the Life of U.S. Gasoline Prices,anyone out there who can tell me what gas is going...,,9/21/2008 0:00
A Day in the Life of U.S. Gasoline Prices,Why is Alaska gas so high even though they produce some?...,,9/22/2008 0:00
A Day in the Life of U.S. Gasoline Prices,Been here [Alaska] for nearly 30 yrs. We have only...,Alaskaraven,9/22/2008 0:00
a day in the park,Joy Lee Keep Walking Keep Smiling Forever Smile...,,3/30/2009 0:00
A little of everything...,Using a one word visualization is more easy to see other...,danielegaliffa,10/23/2007 0:00
A LOOK AT MICROSOFT OFFICE TITLES (2007 REF.),I derived my data from the barnes and noble website. Just...,tawa,4/29/2008 0:00
A lot of managers!,More CEOs than I would have thought. Does this give a...,Martin Wattenberg,1/23/2007 0:00
A lot of managers!,"what is the meaning of the x, y position of each...",stefano,1/24/2007 0:00
A Reason to Avoid Alaska,Best. Visualization. Evar.,Bilabial Fricative Jr.,1/24/2007 0:00
A Reason to Avoid Alaska,"Not only few, but scattered as well",BTJohannessen,1/29/2007 0:00
a room of one's own,I love this!!,abba,8/31/2008 0:00
A Week of emails on The Thread,This is apparently what my friends and I talk about. i...,MrMcMatty,9/24/2008 0:00
a&j,This grapgh is awsome to the max.from jn,nml-demo3,1/25/2008 0:00
A) GRC Maturity Self-Assessment (Desired) – Block Histogram,"Hi Lane , I appreciate the work and profile you...",,11/10/2008 0:00
ソーシャルブックマーク比較,こうしてみると「はてブ」の圧倒的な強さが良くわかる。,Yoi,2/13/2007 0:00
ㅁㅇㄴㄹ,뭐냐 이거는... 빨랑 지워라.,ryun01,2/23/2009 0:00
a2,test comment,apolloshu,9/29/2007 0:00
"Abortion In Italy, 1983-1993",Would like to see juxtaposed against change in birth control rates....,,2/28/2008 0:00
Absolute word frequencies in Pride and Prejudice,Playing with words.,Bart,2/6/2007 0:00
Absolute word frequencies in Pride and Prejudice,"Neat! As one might expect, the most frequent words that show...",Fernanda B. Viegas,2/6/2007 0:00
Abstained from Voting (Jan 2006 - Feb 2009),This chart represents council members’ abstentions on legislation that was voted...,Gotham Gazette,3/8/2009 0:00
Academy Award Matrix,"Sizing by number of nominations, we see a clear December effect....",Martin Wattenberg,8/10/2007 0:00
Academy Award Matrix,"Using the Percent of Row view, you can see the December...",Lee Byron,8/10/2007 0:00
Academy Award Matrix,"Aren't all documentaries ""based on a true story""? Makes you wonder......",Martin Wattenberg,8/10/2007 0:00
Accidental Deaths in the U.S,Why has poisoning gone up so much? Does poisoning include drug...,Martin Wattenberg,1/25/2007 0:00
Account Balance per Capita,"On the other hand, where would you rather live?",,3/11/2007 0:00
Account Balance Per Capita (logarithmic scale),Do you know how recent these number are?,Fernanda B. Viegas,3/12/2007 0:00
accountability,How is this?,Snoflake,11/2/2009 0:00
activities by gender and age [norwegian descriptions],"The numbers used as basis is in hours,minutes but this has...",tomhal,1/24/2007 0:00
Activities by UK Holidaymakers for 2007,These percentages are out of the 13.12 million trips people made...,Do Good Design,7/8/2008 0:00
Activity Awareness in Online Learning References,this is a list of approximately 50 references cited in a...,TurnerP,3/8/2007 0:00
Acupuncture vs. Traditional Treatment for Knee Pain Caused by Osteoarthritis,Participants rated their own pain. A higher score indicates more severe...,jrefinnej,11/12/2008 0:00
Ad Cloud,"In this tag cloud, the size of a company name reflects...",Martin Wattenberg,3/12/2007 0:00
Ad Cloud,I really like the ease of visualization. I wish the...,WarrenA,3/12/2007 0:00
Ad Cloud,"Excellent point on the labels, WarrenA: we should be able to...",Martin Wattenberg,3/12/2007 0:00
Ad Cloud,How do you layout the data? You must be deciding the...,,3/13/2007 0:00
Ad Cloud,"Martin, I made a similar tag cloud inspired by this one...",WarrenA,3/13/2007 0:00
Ad Cloud,Great idea for the labels. It would make the information much...,maiona,3/13/2007 0:00
Adjacent-word Phrase Map of Obama's Foreclosure Speech,data set - http://manyeyes.alphaworks.ibm.com/manyeyes/datasets/9a7391862bcd11dfaaa5000255111976/versions/1,Steveslota,3/14/2010 22:59
Adjusted TreeMap: How Voting Number Makes Difference,"I'm curious, how are the ratings adjusted?",ladamic,9/23/2007 0:00
Adjusted TreeMap: How Voting Number Makes Difference,Simply adding some number of votes,Jiang,9/24/2007 0:00
Adoption Index for 5 most active second life nations,Aproximate adoption rate for second life with US rate as baseline...,KDunkel,4/2/2007 0:00
"ADSL & operator access among internet users in Norway, 2003-2009","FYI, operator access is not dial-up. Also, the...",matheson,11/2/2009 0:00
Adult Obesity and GDP,http://community.cengage.com/GECResource/blogs/gec_blog/archive/2009/07/02/americans-get-fatter-in-lean-times.aspx,Graham Griffith,7/2/2009 0:00
政府機構軟體開發環境調查報告,Are these market share numbers? I did not know JBuilder and...,JasonW,1/23/2007 0:00
政府機構軟體開發環境調查報告,Is editor the plain old text editor?,Frank van Ham,1/23/2007 0:00
政府機構軟體開發環境調查報告,"to JasonW yes,it's marcket share here in the...",meebox,1/23/2007 0:00
月別推移,コメントのテスト,,12/21/2007 0:00
月別推移,次のコメント,,12/21/2007 0:00
Aerie Peak Horde and Alliance Data,It's cool to see the distribution of different classes in World...,Fernanda B. Viegas,2/15/2007 0:00
